2026-05-10 00:30:49,539 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-10 00:30:49,569 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-10 00:32:54,954 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-10 12:12:17,759 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-10 12:12:17,811 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-10 12:14:22,896 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 14:22:27,857 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:22:27,897 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:24:32,054 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 14:46:34,571 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:46:34,602 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:48:38,544 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 14:55:19,567 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:55:19,598 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 14:57:24,576 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 15:02:12,343 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:02:12,383 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:04:16,793 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 15:07:49,365 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:07:49,416 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:09:56,863 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 15:29:03,449 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:29:03,483 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-05-11 15:31:09,483 | PROCESSOR_MANAGER | INFO | All processes finished
2026-05-11 15:36:03,487 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
