2026-05-12 00:35:05,774 | MAIN | INFO | Loading cameras into Redis
2026-05-12 00:35:05,843 | MAIN | INFO | Loaded 4 cameras
2026-05-12 11:18:07,696 | MAIN | INFO | Loading cameras into Redis
2026-05-12 11:18:07,755 | MAIN | INFO | Loaded 4 cameras
2026-05-12 11:20:19,623 | MAIN | INFO | Loading cameras into Redis
2026-05-12 11:20:19,661 | MAIN | INFO | Loaded 4 cameras
2026-05-12 14:11:26,988 | MAIN | INFO | Loading cameras into Redis
2026-05-12 14:11:27,067 | MAIN | INFO | Loaded 4 cameras
2026-05-12 15:02:14,201 | MAIN | INFO | Loading cameras into Redis
2026-05-12 15:02:14,294 | MAIN | INFO | Loaded 4 cameras
2026-05-12 15:29:23,383 | MAIN | INFO | Loading cameras into Redis
2026-05-12 15:29:23,420 | MAIN | INFO | Loaded 4 cameras
2026-05-12 17:00:09,534 | MAIN | INFO | Loading cameras into Redis
2026-05-12 17:00:09,599 | MAIN | INFO | Loaded 4 cameras
2026-05-12 17:16:46,805 | MAIN | INFO | Loading cameras into Redis
2026-05-12 17:16:46,854 | MAIN | INFO | Loaded 4 cameras
2026-05-12 17:32:57,600 | MAIN | INFO | Loading cameras into Redis
2026-05-12 17:32:57,653 | MAIN | INFO | Loaded 4 cameras
2026-05-18 20:15:36,347 | MAIN | INFO | Loading cameras into Redis
2026-05-18 20:15:58,051 | MAIN | INFO | Error in Line no : 15: due to object of type 'NoneType' has no len()
2026-05-18 20:16:40,953 | MAIN | INFO | Loading cameras into Redis
2026-05-18 20:16:41,052 | MAIN | INFO | Loaded 4 cameras
2026-05-19 20:10:22,490 | MAIN | INFO | Loading cameras into Redis
2026-05-19 20:10:22,588 | MAIN | INFO | Loaded 4 cameras
2026-05-19 20:16:43,568 | MAIN | INFO | Loading cameras into Redis
2026-05-19 20:16:43,625 | MAIN | INFO | Loaded 4 cameras
2026-05-19 20:49:58,230 | MAIN | INFO | Loading cameras into Redis
2026-05-19 20:49:58,286 | MAIN | INFO | Loaded 4 cameras
