2026-05-11 22:54:03,977 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:04,226 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:04,503 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:04,779 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:05,026 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:05,247 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:05,454 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:05,682 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:05,888 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:06,134 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:06,383 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:06,631 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:06,836 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:07,059 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:07,335 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:07,625 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:07,896 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:08,139 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:08,381 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:08,606 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:08,840 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:09,092 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:09,348 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:09,574 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:09,774 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:09,988 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:10,233 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:10,449 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:10,652 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:10,843 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,031 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,226 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,426 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,621 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,820 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:11,997 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:12,197 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:12,404 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:12,605 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:12,795 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:12,998 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:13,197 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:13,379 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:13,588 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:13,784 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:13,975 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:14,161 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:14,367 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:14,586 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:14,794 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:15,003 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:15,210 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:15,426 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:15,633 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:15,832 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:16,043 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:16,243 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:16,465 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:16,661 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:16,872 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:17,060 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:17,244 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:17,449 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:17,675 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:17,887 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:18,129 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:18,356 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:18,543 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:18,743 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:19,013 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:19,205 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:19,410 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:19,617 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:19,871 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:20,094 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:20,315 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:20,540 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:20,769 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:20,966 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:21,196 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:21,387 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:21,638 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:21,863 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:22,062 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:22,259 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:22,481 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:22,668 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:22,880 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:54:23,028 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Stopped
2026-05-11 22:59:23,010 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Started
2026-05-11 22:59:23,205 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:00:32,331 | SEGMENTATION_SUBSCRIBER | ERROR | Start Error line 357 : Stream connection lost: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2026-05-11 23:05:57,867 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Started
2026-05-11 23:05:58,188 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:06:13,436 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:06:29,233 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:06:47,887 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:07:06,381 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:07:25,263 | SEGMENTATION_SUBSCRIBER | ERROR | Start Error line 359 : Stream connection lost: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2026-05-11 23:12:54,005 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Started
2026-05-11 23:14:21,527 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:14:40,499 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:15:02,589 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:15:21,395 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:15:42,070 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:16:03,167 | SEGMENTATION_SUBSCRIBER | ERROR | Start Error line 359 : Stream connection lost: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2026-05-11 23:56:40,821 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Started
2026-05-11 23:56:40,952 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,082 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,100 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,113 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,123 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,135 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,149 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,163 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,174 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,189 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,207 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,219 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,231 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,246 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,260 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,270 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,286 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,300 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,312 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,328 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,341 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,350 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,361 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,375 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,388 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,398 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,414 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,429 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,439 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,453 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,464 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,469 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,490 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,502 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,514 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,529 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,542 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,554 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,568 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,578 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,593 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,610 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,624 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,638 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,650 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,667 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,675 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,696 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,706 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,714 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,732 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,748 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,764 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,782 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,799 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,812 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,828 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,833 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,855 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,870 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,883 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,894 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,903 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,919 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,932 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,947 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,960 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,973 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:41,986 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,000 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,008 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,025 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,034 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,045 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,062 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,075 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,089 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,097 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,112 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,121 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,131 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,147 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,157 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,173 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,186 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,198 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,210 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,221 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,230 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,251 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,263 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,274 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,283 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,298 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,310 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,319 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,329 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,343 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,352 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,360 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,378 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 23:56:42,388 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
