2026-05-09 23:33:20,935 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-09 23:33:20,935 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-09 23:33:20,935 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-09 23:33:20,935 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-09 23:36:06,375 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-09 23:36:06,387 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-09 23:36:06,387 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-09 23:36:06,387 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-09 23:45:11,180 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-09 23:45:11,180 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-09 23:45:11,187 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-09 23:45:11,187 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-09 23:52:33,003 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-09 23:52:33,003 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-09 23:52:33,009 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-09 23:52:33,009 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-10 00:18:16,260 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-10 00:18:16,260 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-10 00:18:16,260 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-10 00:18:16,260 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-10 00:21:32,608 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-10 00:21:32,609 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-10 00:21:32,611 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-10 00:21:32,612 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-10 00:30:49,532 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-10 00:30:49,532 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-10 00:30:49,539 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-10 00:30:49,539 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-10 12:12:17,751 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-10 12:12:17,751 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-10 12:12:17,755 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-10 12:12:17,755 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 14:22:27,848 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 14:22:27,848 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 14:22:27,848 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 14:22:27,857 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 14:46:34,566 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 14:46:34,570 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 14:46:34,571 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 14:46:34,571 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 14:55:19,567 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 14:55:19,567 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 14:55:19,567 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 14:55:19,567 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 15:02:12,333 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 15:02:12,333 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 15:02:12,337 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 15:02:12,341 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 15:07:49,355 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 15:07:49,355 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-05-11 15:07:49,363 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-05-11 15:07:49,365 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-05-11 15:29:03,441 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-05-11 15:29:03,444 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
